127.0.0.1 - - [12/Mar/2021:11:15:50 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:15:50 +0530] "GET /Spring-MVC-Demo/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:15:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:15:53 +0530] "GET /Spring-MVC-Demo/customer/showForm HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:15:56 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:16:02 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:16:09 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:16:15 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:16:21 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:16:26 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:16:35 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:22:18 +0530] "GET /Spring-MVC-Demo/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:22:19 +0530] "GET /Spring-MVC-Demo/customer/showForm HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:22:38 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [12/Mar/2021:11:24:25 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:14:55 +0530] "GET /Spring-MVC-Demo/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:14:58 +0530] "GET /Spring-MVC-Demo/customer/showForm HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:15:00 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:15:15 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:15:22 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:15:52 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:16:00 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:16:10 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:16:18 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:16:24 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:16:25 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:19:24 +0530] "GET /Spring-MVC-Demo/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:19:26 +0530] "GET /Spring-MVC-Demo/customer/showForm HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:19:37 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:21:49 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:04 +0530] "GET /Spring-MVC-Demo/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:06 +0530] "GET /Spring-MVC-Demo/customer/showForm HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:22 +0530] "GET /Spring-MVC-Demo/ HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:24 +0530] "GET /Spring-MVC-Demo/customer/showForm HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:36 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:41 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:47 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [12/Mar/2021:13:39:54 +0530] "POST /Spring-MVC-Demo/customer/processForm HTTP/1.1" 200 257
